program_string,module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color,render_filepath
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,circle,green,balanced_data/dim_balanced/totems/dim3/var1/images/10.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,circle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/11.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,triangle,red,balanced_data/dim_balanced/totems/dim3/var1/images/12.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,triangle,green,balanced_data/dim_balanced/totems/dim3/var1/images/13.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,triangle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/14.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,square,red,balanced_data/dim_balanced/totems/dim3/var1/images/15.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,square,green,balanced_data/dim_balanced/totems/dim3/var1/images/16.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,green,square,blue,balanced_data/dim_balanced/totems/dim3/var1/images/17.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,circle,red,balanced_data/dim_balanced/totems/dim3/var1/images/18.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,circle,green,balanced_data/dim_balanced/totems/dim3/var1/images/19.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,circle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/20.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,triangle,red,balanced_data/dim_balanced/totems/dim3/var1/images/21.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,triangle,green,balanced_data/dim_balanced/totems/dim3/var1/images/22.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,triangle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/23.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,square,red,balanced_data/dim_balanced/totems/dim3/var1/images/24.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,square,green,balanced_data/dim_balanced/totems/dim3/var1/images/25.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,circle,blue,square,blue,balanced_data/dim_balanced/totems/dim3/var1/images/26.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,circle,red,balanced_data/dim_balanced/totems/dim3/var1/images/27.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,circle,green,balanced_data/dim_balanced/totems/dim3/var1/images/28.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,circle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/29.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,triangle,red,balanced_data/dim_balanced/totems/dim3/var1/images/30.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,triangle,green,balanced_data/dim_balanced/totems/dim3/var1/images/31.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,triangle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/32.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,square,red,balanced_data/dim_balanced/totems/dim3/var1/images/33.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,square,green,balanced_data/dim_balanced/totems/dim3/var1/images/34.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 2.666666666666666 0 -1.333333333333333 1.3333333333333333)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,red,square,blue,balanced_data/dim_balanced/totems/dim3/var1/images/35.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,green,circle,red,balanced_data/dim_balanced/totems/dim3/var1/images/36.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 1 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,green,circle,green,balanced_data/dim_balanced/totems/dim3/var1/images/37.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 0 0 1 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,green,circle,blue,balanced_data/dim_balanced/totems/dim3/var1/images/38.png
(C (C (color 1 0 0 (T (repeat (T l (M 0.13975407808810986 0 -0.06987703904405493 1.3333333333333333)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.666666666666667))) (color 0 1 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 -2.220446049250313e-16)))) (color 1 0 0 (T (T (repeat (T l (M 3.0792014356780038 0 -1.5396007178390019 0.8888888888888891)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.4444444444444443)) (M 1 0 0 2.666666666666666)))),circle,red,triangle,green,triangle,red,balanced_data/dim_balanced/totems/dim3/var1/images/39.png
