mode,domain,dim,var,trial_idx,oddball_idx,n_tiles,avg_edit_distance,distances_json
data,glyphs,3,2,0,4,6,25.400000,"[4.0, 39.0, 39.0, 41.0, 4.0]"
data,glyphs,3,2,1,6,6,47.600000,"[29.0, 58.0, 31.0, 60.0, 60.0]"
data,glyphs,3,2,2,1,6,44.200000,"[31.0, 53.0, 53.0, 31.0, 53.0]"
data,glyphs,3,2,3,1,6,27.800000,"[45.0, 31.0, 2.0, 45.0, 16.0]"
data,glyphs,3,2,4,5,6,4.400000,"[4.0, 6.0, 4.0, 4.0, 4.0]"
data,glyphs,3,2,5,6,6,35.000000,"[29.0, 39.0, 31.0, 37.0, 39.0]"
data,glyphs,3,2,6,3,6,20.600000,"[33.0, 31.0, 33.0, 2.0, 4.0]"
data,glyphs,3,2,7,3,6,39.400000,"[39.0, 37.0, 41.0, 41.0, 39.0]"
data,glyphs,3,2,8,6,6,47.000000,"[57.0, 59.0, 31.0, 57.0, 31.0]"
data,glyphs,3,2,9,1,6,18.800000,"[16.0, 30.0, 2.0, 30.0, 16.0]"
data,glyphs,3,2,10,4,6,60.400000,"[37.0, 76.0, 74.0, 39.0, 76.0]"
data,glyphs,3,2,11,1,6,46.800000,"[58.0, 31.0, 58.0, 29.0, 58.0]"
data,glyphs,3,2,12,5,6,31.400000,"[33.0, 33.0, 29.0, 33.0, 29.0]"
data,glyphs,3,2,13,4,6,39.600000,"[39.0, 31.0, 31.0, 58.0, 39.0]"
data,glyphs,3,2,14,6,6,4.400000,"[6.0, 4.0, 4.0, 4.0, 4.0]"
data,glyphs,3,2,15,5,6,37.400000,"[43.0, 29.0, 43.0, 29.0, 43.0]"
data,glyphs,3,2,16,6,6,39.400000,"[37.0, 39.0, 41.0, 41.0, 39.0]"
data,glyphs,3,2,17,4,6,27.800000,"[31.0, 45.0, 45.0, 16.0, 2.0]"
data,glyphs,3,2,18,2,6,25.400000,"[41.0, 4.0, 39.0, 4.0, 39.0]"
data,glyphs,3,2,19,1,6,20.600000,"[4.0, 33.0, 4.0, 31.0, 31.0]"
data,glyphs,3,2,20,5,6,39.400000,"[39.0, 41.0, 39.0, 39.0, 39.0]"
data,glyphs,3,2,21,5,6,23.600000,"[30.0, 14.0, 16.0, 28.0, 30.0]"
data,glyphs,3,2,22,6,6,11.600000,"[16.0, 4.0, 16.0, 4.0, 18.0]"
data,glyphs,3,2,23,1,6,52.400000,"[31.0, 31.0, 66.0, 68.0, 66.0]"
data,glyphs,3,2,24,5,6,25.400000,"[4.0, 41.0, 2.0, 39.0, 41.0]"
data,glyphs,3,3,0,4,6,26.600000,"[41.0, 4.0, 4.0, 41.0, 43.0]"
data,glyphs,3,3,1,3,6,36.000000,"[48.0, 50.0, 14.0, 18.0, 50.0]"
data,glyphs,3,3,2,5,6,17.600000,"[20.0, 20.0, 18.0, 14.0, 16.0]"
data,glyphs,3,3,3,5,6,27.600000,"[31.0, 33.0, 16.0, 40.0, 18.0]"
data,glyphs,3,3,4,5,6,21.800000,"[35.0, 31.0, 6.0, 31.0, 6.0]"
data,glyphs,3,3,5,5,6,32.600000,"[33.0, 35.0, 33.0, 31.0, 31.0]"
data,glyphs,3,3,6,1,6,42.800000,"[70.0, 33.0, 41.0, 2.0, 68.0]"
data,glyphs,3,3,7,2,6,42.200000,"[14.0, 61.0, 47.0, 28.0, 61.0]"
data,glyphs,3,3,8,3,6,32.600000,"[33.0, 35.0, 33.0, 31.0, 31.0]"
data,glyphs,3,3,9,2,6,29.000000,"[16.0, 31.0, 33.0, 47.0, 18.0]"
data,glyphs,3,3,10,6,6,74.600000,"[66.0, 68.0, 105.0, 29.0, 105.0]"
data,glyphs,3,3,11,4,6,45.600000,"[50.0, 50.0, 39.0, 50.0, 39.0]"
data,glyphs,3,3,12,5,6,41.600000,"[50.0, 50.0, 36.0, 41.0, 31.0]"
data,glyphs,3,3,13,4,6,33.800000,"[55.0, 18.0, 53.0, 39.0, 4.0]"
data,glyphs,3,3,14,6,6,24.200000,"[4.0, 2.0, 39.0, 37.0, 39.0]"
data,glyphs,3,3,15,5,6,53.600000,"[70.0, 66.0, 68.0, 33.0, 31.0]"
data,glyphs,3,3,16,6,6,56.800000,"[70.0, 39.0, 68.0, 68.0, 39.0]"
data,glyphs,3,3,17,1,6,42.800000,"[68.0, 31.0, 41.0, 33.0, 41.0]"
data,glyphs,3,3,18,3,6,33.800000,"[2.0, 55.0, 18.0, 53.0, 41.0]"
data,glyphs,3,3,19,1,6,21.800000,"[35.0, 6.0, 6.0, 31.0, 31.0]"
data,glyphs,3,3,20,5,6,38.200000,"[39.0, 39.0, 37.0, 39.0, 37.0]"
data,glyphs,3,3,21,4,6,33.800000,"[18.0, 45.0, 16.0, 43.0, 47.0]"
data,glyphs,3,3,22,5,6,27.400000,"[43.0, 43.0, 18.0, 2.0, 31.0]"
data,glyphs,3,3,23,4,6,31.000000,"[41.0, 16.0, 39.0, 41.0, 18.0]"
data,glyphs,3,3,24,4,6,26.600000,"[6.0, 41.0, 39.0, 4.0, 43.0]"
data,glyphs,3,4,0,2,6,37.800000,"[41.0, 39.0, 43.0, 33.0, 33.0]"
data,glyphs,3,4,1,2,6,43.200000,"[54.0, 45.0, 18.0, 52.0, 47.0]"
data,glyphs,3,4,2,2,6,45.000000,"[55.0, 59.0, 53.0, 30.0, 28.0]"
data,glyphs,3,4,3,1,6,29.000000,"[41.0, 33.0, 20.0, 31.0, 20.0]"
data,glyphs,3,4,4,1,6,46.200000,"[38.0, 33.0, 58.0, 40.0, 62.0]"
data,glyphs,3,4,5,2,6,39.800000,"[39.0, 39.0, 41.0, 39.0, 41.0]"
data,glyphs,3,4,6,1,6,55.400000,"[89.0, 33.0, 4.0, 89.0, 62.0]"
data,glyphs,3,4,7,6,6,46.800000,"[39.0, 53.0, 50.0, 41.0, 51.0]"
data,glyphs,3,4,8,4,6,67.400000,"[62.0, 57.0, 76.0, 78.0, 64.0]"
data,glyphs,3,4,9,6,6,46.000000,"[45.0, 47.0, 62.0, 43.0, 33.0]"
data,glyphs,3,4,10,5,6,48.200000,"[45.0, 59.0, 61.0, 31.0, 45.0]"
data,glyphs,3,4,11,6,6,50.800000,"[58.0, 58.0, 39.0, 58.0, 41.0]"
data,glyphs,3,4,12,6,6,47.000000,"[32.0, 16.0, 53.0, 69.0, 65.0]"
data,glyphs,3,4,13,5,6,31.600000,"[33.0, 40.0, 40.0, 41.0, 4.0]"
data,glyphs,3,4,14,3,6,35.000000,"[18.0, 55.0, 18.0, 43.0, 41.0]"
data,glyphs,3,4,15,5,6,39.400000,"[35.0, 45.0, 31.0, 43.0, 43.0]"
data,glyphs,3,4,16,5,6,52.600000,"[62.0, 31.0, 36.0, 67.0, 67.0]"
data,glyphs,3,4,17,6,6,60.200000,"[60.0, 41.0, 99.0, 2.0, 99.0]"
data,glyphs,3,4,18,4,6,35.000000,"[4.0, 53.0, 55.0, 6.0, 57.0]"
data,glyphs,3,4,19,6,6,48.800000,"[78.0, 78.0, 43.0, 41.0, 4.0]"
data,glyphs,3,4,20,6,6,44.600000,"[49.0, 47.0, 39.0, 43.0, 45.0]"
data,glyphs,3,4,21,5,6,48.800000,"[58.0, 35.0, 61.0, 61.0, 29.0]"
data,glyphs,3,4,22,6,6,32.200000,"[39.0, 20.0, 46.0, 6.0, 50.0]"
data,glyphs,3,4,23,1,6,71.000000,"[97.0, 97.0, 31.0, 60.0, 70.0]"
data,glyphs,3,4,24,5,6,34.600000,"[4.0, 53.0, 53.0, 45.0, 18.0]"
data,glyphs,3,5,0,3,6,46.400000,"[33.0, 39.0, 43.0, 55.0, 62.0]"
data,glyphs,3,5,1,2,6,48.400000,"[49.0, 45.0, 54.0, 45.0, 49.0]"
data,glyphs,3,5,2,6,6,45.800000,"[47.0, 45.0, 53.0, 31.0, 53.0]"
data,glyphs,3,5,3,6,6,45.200000,"[6.0, 45.0, 64.0, 42.0, 69.0]"
data,glyphs,3,5,4,2,6,41.200000,"[58.0, 20.0, 62.0, 4.0, 62.0]"
data,glyphs,3,5,5,2,6,44.600000,"[35.0, 38.0, 54.0, 42.0, 54.0]"
data,glyphs,3,5,6,1,6,61.400000,"[6.0, 97.0, 33.0, 99.0, 72.0]"
data,glyphs,3,5,7,5,6,57.000000,"[50.0, 61.0, 66.0, 46.0, 62.0]"
data,glyphs,3,5,8,1,6,53.600000,"[54.0, 54.0, 59.0, 70.0, 31.0]"
data,glyphs,3,5,9,1,6,47.200000,"[45.0, 20.0, 62.0, 64.0, 45.0]"
data,glyphs,3,5,10,1,6,63.200000,"[31.0, 47.0, 86.0, 82.0, 70.0]"
data,glyphs,3,5,11,2,6,46.200000,"[38.0, 55.0, 40.0, 50.0, 48.0]"
data,glyphs,3,5,12,6,6,44.400000,"[52.0, 45.0, 52.0, 40.0, 33.0]"
data,glyphs,3,5,13,5,6,47.600000,"[2.0, 49.0, 74.0, 49.0, 64.0]"
data,glyphs,3,5,14,5,6,47.400000,"[4.0, 39.0, 76.0, 41.0, 77.0]"
data,glyphs,3,5,15,6,6,54.200000,"[63.0, 49.0, 53.0, 55.0, 51.0]"
data,glyphs,3,5,16,2,6,56.600000,"[69.0, 70.0, 39.0, 67.0, 38.0]"
data,glyphs,3,5,17,1,6,61.400000,"[41.0, 101.0, 101.0, 31.0, 33.0]"
data,glyphs,3,5,18,2,6,40.000000,"[41.0, 54.0, 33.0, 52.0, 20.0]"
data,glyphs,3,5,19,1,6,52.400000,"[43.0, 84.0, 49.0, 70.0, 16.0]"
data,glyphs,3,5,20,1,6,45.600000,"[40.0, 49.0, 52.0, 49.0, 38.0]"
data,glyphs,3,5,21,1,6,40.000000,"[54.0, 54.0, 40.0, 32.0, 20.0]"
data,glyphs,3,5,22,6,6,55.600000,"[38.0, 80.0, 41.0, 80.0, 39.0]"
data,glyphs,3,5,23,5,6,72.200000,"[64.0, 60.0, 70.0, 68.0, 99.0]"
data,glyphs,3,5,24,5,6,44.800000,"[33.0, 41.0, 49.0, 47.0, 54.0]"
data,nuts_and_bolts,3,0,0,6,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,1,3,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,nuts_and_bolts,3,0,2,3,6,7.000000,"[7.0, 7.0, 7.0, 7.0, 7.0]"
data,nuts_and_bolts,3,0,3,6,6,10.000000,"[10.0, 10.0, 10.0, 10.0, 10.0]"
data,nuts_and_bolts,3,0,4,6,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,5,3,6,7.000000,"[7.0, 7.0, 7.0, 7.0, 7.0]"
data,nuts_and_bolts,3,0,6,3,6,4.000000,"[4.0, 4.0, 4.0, 4.0, 4.0]"
data,nuts_and_bolts,3,0,7,2,6,7.000000,"[7.0, 7.0, 7.0, 7.0, 7.0]"
data,nuts_and_bolts,3,0,8,1,6,16.000000,"[16.0, 16.0, 16.0, 16.0, 16.0]"
data,nuts_and_bolts,3,0,9,3,6,35.000000,"[35.0, 35.0, 35.0, 35.0, 35.0]"
data,nuts_and_bolts,3,0,10,3,6,10.000000,"[10.0, 10.0, 10.0, 10.0, 10.0]"
data,nuts_and_bolts,3,0,11,4,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,12,5,6,35.000000,"[35.0, 35.0, 35.0, 35.0, 35.0]"
data,nuts_and_bolts,3,0,13,4,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,14,4,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,15,6,6,16.000000,"[16.0, 16.0, 16.0, 16.0, 16.0]"
data,nuts_and_bolts,3,0,16,6,6,7.000000,"[7.0, 7.0, 7.0, 7.0, 7.0]"
data,nuts_and_bolts,3,0,17,3,6,13.000000,"[13.0, 13.0, 13.0, 13.0, 13.0]"
data,nuts_and_bolts,3,0,18,6,6,16.000000,"[16.0, 16.0, 16.0, 16.0, 16.0]"
data,nuts_and_bolts,3,0,19,5,6,2.000000,"[2.0, 2.0, 2.0, 2.0, 2.0]"
data,nuts_and_bolts,3,0,20,6,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,21,1,6,35.000000,"[35.0, 35.0, 35.0, 35.0, 35.0]"
data,nuts_and_bolts,3,0,22,4,6,4.000000,"[4.0, 4.0, 4.0, 4.0, 4.0]"
data,nuts_and_bolts,3,0,23,3,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,0,24,6,6,6.000000,"[6.0, 6.0, 6.0, 6.0, 6.0]"
data,nuts_and_bolts,3,1,0,5,6,27.000000,"[41.0, 6.0, 41.0, 6.0, 41.0]"
data,nuts_and_bolts,3,1,1,4,6,5.600000,"[8.0, 2.0, 2.0, 8.0, 8.0]"
data,nuts_and_bolts,3,1,2,4,6,8.200000,"[9.0, 7.0, 9.0, 7.0, 9.0]"
data,nuts_and_bolts,3,1,3,5,6,11.800000,"[13.0, 10.0, 10.0, 13.0, 13.0]"
data,nuts_and_bolts,3,1,4,3,6,7.200000,"[8.0, 8.0, 6.0, 6.0, 8.0]"
data,nuts_and_bolts,3,1,5,2,6,28.000000,"[42.0, 7.0, 42.0, 7.0, 42.0]"
data,nuts_and_bolts,3,1,6,1,6,11.200000,"[16.0, 4.0, 4.0, 16.0, 16.0]"
data,nuts_and_bolts,3,1,7,2,6,31.000000,"[10.0, 45.0, 45.0, 10.0, 45.0]"
data,nuts_and_bolts,3,1,8,5,6,33.400000,"[45.0, 45.0, 16.0, 45.0, 16.0]"
data,nuts_and_bolts,3,1,9,5,6,36.200000,"[37.0, 35.0, 35.0, 37.0, 37.0]"
data,nuts_and_bolts,3,1,10,4,6,11.800000,"[13.0, 10.0, 10.0, 13.0, 13.0]"
data,nuts_and_bolts,3,1,11,4,6,7.200000,"[8.0, 8.0, 8.0, 6.0, 6.0]"
data,nuts_and_bolts,3,1,12,4,6,38.600000,"[41.0, 41.0, 35.0, 41.0, 35.0]"
data,nuts_and_bolts,3,1,13,5,6,27.000000,"[41.0, 41.0, 6.0, 41.0, 6.0]"
data,nuts_and_bolts,3,1,14,5,6,7.200000,"[8.0, 6.0, 8.0, 8.0, 6.0]"
data,nuts_and_bolts,3,1,15,5,6,33.400000,"[45.0, 16.0, 45.0, 16.0, 45.0]"
data,nuts_and_bolts,3,1,16,1,6,8.800000,"[10.0, 7.0, 7.0, 10.0, 10.0]"
data,nuts_and_bolts,3,1,17,1,6,14.800000,"[13.0, 16.0, 13.0, 16.0, 16.0]"
data,nuts_and_bolts,3,1,18,4,6,17.800000,"[19.0, 16.0, 16.0, 19.0, 19.0]"
data,nuts_and_bolts,3,1,19,3,6,23.000000,"[2.0, 37.0, 37.0, 2.0, 37.0]"
data,nuts_and_bolts,3,1,20,1,6,13.800000,"[6.0, 19.0, 6.0, 19.0, 19.0]"
data,nuts_and_bolts,3,1,21,2,6,38.600000,"[41.0, 35.0, 35.0, 41.0, 41.0]"
data,nuts_and_bolts,3,1,22,3,6,7.600000,"[10.0, 10.0, 4.0, 4.0, 10.0]"
data,nuts_and_bolts,3,1,23,1,6,13.800000,"[6.0, 19.0, 19.0, 6.0, 19.0]"
data,nuts_and_bolts,3,1,24,2,6,9.600000,"[12.0, 6.0, 12.0, 12.0, 6.0]"
data,nuts_and_bolts,3,2,0,1,6,29.400000,"[10.0, 41.0, 41.0, 45.0, 10.0]"
data,nuts_and_bolts,3,2,1,6,6,9.800000,"[15.0, 2.0, 15.0, 8.0, 9.0]"
data,nuts_and_bolts,3,2,2,3,6,10.000000,"[10.0, 12.0, 7.0, 9.0, 12.0]"
data,nuts_and_bolts,3,2,3,6,6,32.800000,"[13.0, 45.0, 48.0, 13.0, 45.0]"
data,nuts_and_bolts,3,2,4,3,6,9.600000,"[10.0, 12.0, 12.0, 6.0, 8.0]"
data,nuts_and_bolts,3,2,5,2,6,10.600000,"[10.0, 13.0, 13.0, 7.0, 10.0]"
data,nuts_and_bolts,3,2,6,1,6,8.800000,"[12.0, 4.0, 6.0, 12.0, 10.0]"
data,nuts_and_bolts,3,2,7,1,6,13.000000,"[13.0, 13.0, 15.0, 12.0, 12.0]"
data,nuts_and_bolts,3,2,8,5,6,21.400000,"[22.0, 19.0, 22.0, 25.0, 19.0]"
data,nuts_and_bolts,3,2,9,2,6,42.200000,"[47.0, 47.0, 41.0, 41.0, 35.0]"
data,nuts_and_bolts,3,2,10,4,6,13.600000,"[13.0, 13.0, 13.0, 13.0, 16.0]"
data,nuts_and_bolts,3,2,11,1,6,27.600000,"[41.0, 42.0, 6.0, 42.0, 7.0]"
data,nuts_and_bolts,3,2,12,1,6,39.800000,"[43.0, 35.0, 35.0, 43.0, 43.0]"
data,nuts_and_bolts,3,2,13,4,6,15.000000,"[16.0, 12.0, 12.0, 16.0, 19.0]"
data,nuts_and_bolts,3,2,14,6,6,29.400000,"[41.0, 6.0, 10.0, 45.0, 45.0]"
data,nuts_and_bolts,3,2,15,6,6,19.600000,"[22.0, 16.0, 22.0, 16.0, 22.0]"
data,nuts_and_bolts,3,2,16,2,6,13.600000,"[18.0, 18.0, 9.0, 16.0, 7.0]"
data,nuts_and_bolts,3,2,17,4,6,34.000000,"[42.0, 48.0, 48.0, 19.0, 13.0]"
data,nuts_and_bolts,3,2,18,2,6,19.000000,"[21.0, 21.0, 16.0, 19.0, 18.0]"
data,nuts_and_bolts,3,2,19,1,6,7.400000,"[6.0, 9.0, 6.0, 8.0, 8.0]"
data,nuts_and_bolts,3,2,20,3,6,10.800000,"[8.0, 8.0, 12.0, 14.0, 12.0]"
data,nuts_and_bolts,3,2,21,5,6,40.400000,"[44.0, 35.0, 42.0, 37.0, 44.0]"
data,nuts_and_bolts,3,2,22,6,6,8.800000,"[6.0, 10.0, 6.0, 10.0, 12.0]"
data,nuts_and_bolts,3,2,23,3,6,15.800000,"[10.0, 22.0, 22.0, 19.0, 6.0]"
data,nuts_and_bolts,3,2,24,3,6,17.400000,"[6.0, 25.0, 19.0, 25.0, 12.0]"
data,nuts_and_bolts,3,3,0,4,6,33.200000,"[51.0, 6.0, 13.0, 51.0, 45.0]"
data,nuts_and_bolts,3,3,1,3,6,30.800000,"[43.0, 44.0, 8.0, 9.0, 50.0]"
data,nuts_and_bolts,3,3,2,5,6,31.000000,"[47.0, 47.0, 44.0, 7.0, 10.0]"
data,nuts_and_bolts,3,3,3,2,6,16.600000,"[19.0, 15.0, 16.0, 21.0, 12.0]"
data,nuts_and_bolts,3,3,4,3,6,30.600000,"[47.0, 8.0, 12.0, 41.0, 45.0]"
data,nuts_and_bolts,3,3,5,2,6,31.000000,"[45.0, 9.0, 7.0, 47.0, 47.0]"
data,nuts_and_bolts,3,3,6,2,6,16.600000,"[19.0, 22.0, 16.0, 13.0, 13.0]"
data,nuts_and_bolts,3,3,7,2,6,13.600000,"[10.0, 15.0, 12.0, 13.0, 18.0]"
data,nuts_and_bolts,3,3,8,2,6,20.200000,"[24.0, 18.0, 22.0, 16.0, 21.0]"
data,nuts_and_bolts,3,3,9,2,6,44.000000,"[45.0, 41.0, 42.0, 45.0, 47.0]"
data,nuts_and_bolts,3,3,10,2,6,33.400000,"[16.0, 48.0, 10.0, 45.0, 48.0]"
data,nuts_and_bolts,3,3,11,5,6,15.000000,"[8.0, 19.0, 14.0, 15.0, 19.0]"
data,nuts_and_bolts,3,3,12,5,6,44.600000,"[51.0, 45.0, 51.0, 41.0, 35.0]"
data,nuts_and_bolts,3,3,13,3,6,35.400000,"[54.0, 51.0, 19.0, 47.0, 6.0]"
data,nuts_and_bolts,3,3,14,2,6,18.400000,"[25.0, 25.0, 19.0, 13.0, 10.0]"
data,nuts_and_bolts,3,3,15,2,6,20.200000,"[16.0, 16.0, 24.0, 21.0, 24.0]"
data,nuts_and_bolts,3,3,16,5,6,17.200000,"[10.0, 25.0, 25.0, 19.0, 7.0]"
data,nuts_and_bolts,3,3,17,5,6,35.200000,"[50.0, 48.0, 44.0, 15.0, 19.0]"
data,nuts_and_bolts,3,3,18,1,6,22.000000,"[19.0, 22.0, 25.0, 25.0, 19.0]"
data,nuts_and_bolts,3,3,19,4,6,10.400000,"[14.0, 9.0, 2.0, 12.0, 15.0]"
data,nuts_and_bolts,3,3,20,6,6,11.400000,"[15.0, 15.0, 9.0, 12.0, 6.0]"
data,nuts_and_bolts,3,3,21,5,6,44.000000,"[50.0, 50.0, 48.0, 35.0, 37.0]"
data,nuts_and_bolts,3,3,22,4,6,28.000000,"[6.0, 41.0, 42.0, 9.0, 42.0]"
data,nuts_and_bolts,3,3,23,1,6,31.800000,"[6.0, 13.0, 47.0, 45.0, 48.0]"
data,nuts_and_bolts,3,3,24,1,6,33.600000,"[41.0, 48.0, 21.0, 8.0, 50.0]"
data,nuts_and_bolts,3,4,0,2,6,34.600000,"[48.0, 47.0, 51.0, 12.0, 15.0]"
data,nuts_and_bolts,3,4,1,2,6,33.400000,"[43.0, 53.0, 9.0, 15.0, 47.0]"
data,nuts_and_bolts,3,4,2,5,6,34.600000,"[51.0, 51.0, 12.0, 44.0, 15.0]"
data,nuts_and_bolts,3,4,3,2,6,37.600000,"[21.0, 48.0, 53.0, 13.0, 53.0]"
data,nuts_and_bolts,3,4,4,5,6,36.800000,"[45.0, 24.0, 22.0, 43.0, 50.0]"
data,nuts_and_bolts,3,4,5,4,6,17.800000,"[15.0, 22.0, 12.0, 19.0, 21.0]"
data,nuts_and_bolts,3,4,6,6,6,35.200000,"[19.0, 54.0, 51.0, 10.0, 42.0]"
data,nuts_and_bolts,3,4,7,2,6,37.600000,"[19.0, 10.0, 47.0, 56.0, 56.0]"
data,nuts_and_bolts,3,4,8,6,6,37.000000,"[47.0, 48.0, 21.0, 22.0, 47.0]"
data,nuts_and_bolts,3,4,9,4,6,45.600000,"[48.0, 44.0, 50.0, 47.0, 39.0]"
data,nuts_and_bolts,3,4,10,2,6,35.200000,"[18.0, 16.0, 47.0, 47.0, 48.0]"
data,nuts_and_bolts,3,4,11,6,6,15.200000,"[8.0, 9.0, 19.0, 21.0, 19.0]"
data,nuts_and_bolts,3,4,12,3,6,47.200000,"[48.0, 48.0, 54.0, 51.0, 35.0]"
data,nuts_and_bolts,3,4,13,4,6,16.600000,"[18.0, 19.0, 13.0, 15.0, 18.0]"
data,nuts_and_bolts,3,4,14,4,6,37.200000,"[50.0, 27.0, 6.0, 54.0, 49.0]"
data,nuts_and_bolts,3,4,15,4,6,22.600000,"[22.0, 25.0, 27.0, 21.0, 18.0]"
