program_string,nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant,render_filepath
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/10.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/11.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/12.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/13.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/14.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,c,6,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/15.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/16.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/17.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/18.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/19.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/20.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/21.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/22.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,s,4,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/23.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/24.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/25.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/26.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/27.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/28.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/29.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/30.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),c,1.0,s,6,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/31.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 0.10467191248588766 0 -0.05233595624294383 0.9986295347545738)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),c,1.0,p,4,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/32.png
