program_string,emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color,render_filepath
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,green,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var3/images/13.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,green,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/14.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,green,two_dots,red,balanced_data/var_balanced/glyphs/dim3/var3/images/15.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,green,two_dots,green,balanced_data/var_balanced/glyphs/dim3/var3/images/16.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,green,two_dots,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/17.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,blue,h_line,red,balanced_data/var_balanced/glyphs/dim3/var3/images/18.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,blue,h_line,green,balanced_data/var_balanced/glyphs/dim3/var3/images/19.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,blue,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/20.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,blue,s_curve,red,balanced_data/var_balanced/glyphs/dim3/var3/images/21.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,blue,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var3/images/22.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,blue,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/23.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,blue,two_dots,red,balanced_data/var_balanced/glyphs/dim3/var3/images/24.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,blue,two_dots,green,balanced_data/var_balanced/glyphs/dim3/var3/images/25.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,blue,two_dots,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/26.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,red,h_line,red,balanced_data/var_balanced/glyphs/dim3/var3/images/27.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,red,h_line,green,balanced_data/var_balanced/glyphs/dim3/var3/images/28.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,red,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/29.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,red,s_curve,red,balanced_data/var_balanced/glyphs/dim3/var3/images/30.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,red,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var3/images/31.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,red,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/32.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,red,two_dots,red,balanced_data/var_balanced/glyphs/dim3/var3/images/33.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,red,two_dots,green,balanced_data/var_balanced/glyphs/dim3/var3/images/34.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,red,two_dots,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/35.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,green,h_line,red,balanced_data/var_balanced/glyphs/dim3/var3/images/36.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,green,h_line,green,balanced_data/var_balanced/glyphs/dim3/var3/images/37.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,green,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/38.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,green,s_curve,red,balanced_data/var_balanced/glyphs/dim3/var3/images/39.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,green,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var3/images/40.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,s_curve,green,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/41.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,green,two_dots,red,balanced_data/var_balanced/glyphs/dim3/var3/images/42.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,green,two_dots,green,balanced_data/var_balanced/glyphs/dim3/var3/images/43.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,s_curve,green,two_dots,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/44.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,blue,h_line,red,balanced_data/var_balanced/glyphs/dim3/var3/images/45.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,blue,h_line,green,balanced_data/var_balanced/glyphs/dim3/var3/images/46.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 0 1 (C (lift -1.5 0.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,s_curve,blue,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var3/images/47.png
