program_string,module1_shape,module1_color,module2_shape,module2_color,render_filepath
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,green,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/10.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,green,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/11.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,green,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/12.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,green,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/13.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,green,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/14.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,green,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/15.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,green,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/16.png
(C (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,green,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/17.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,blue,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/18.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,blue,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/19.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),circle,blue,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/20.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,blue,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/21.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,blue,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/22.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),circle,blue,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/23.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,blue,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/24.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,blue,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/25.png
(C (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),circle,blue,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/26.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,red,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/27.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,red,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/28.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,red,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/29.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,red,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/30.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,red,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/31.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,red,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/32.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,red,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/33.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,red,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/34.png
(C (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,red,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/35.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,green,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/36.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,green,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/37.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,green,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/38.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,green,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/39.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,green,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/40.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,green,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/41.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,green,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/42.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,green,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/43.png
(C (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,green,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/44.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,blue,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/45.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,blue,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/46.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),triangle,blue,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/47.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,blue,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/48.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,blue,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/49.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),triangle,blue,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/50.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,blue,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/51.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,blue,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/52.png
(C (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),triangle,blue,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/53.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,red,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/54.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,red,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/55.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,red,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/56.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,red,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/57.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,red,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/58.png
