program_string,nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,render_filepath
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),c,2.2,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/10.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),c,2.2,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/11.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),c,2.2,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/12.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),c,2.2,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/13.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),c,2.2,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/14.png
(C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),c,2.2,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/15.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),s,1.0,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/16.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),s,1.0,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/17.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),s,1.0,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/18.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),s,1.0,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/19.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),s,1.0,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/20.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),s,1.0,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/21.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),s,1.0,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/22.png
(C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),s,1.0,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/23.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),s,2.2,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/24.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),s,2.2,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/25.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),s,2.2,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/26.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),s,2.2,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/27.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),s,2.2,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/28.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),s,2.2,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/29.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),s,2.2,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/30.png
(C (T (repeat (T l (M 3.111269837220809 0 -1.5556349186104046 1.5556349186104048)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),s,2.2,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/31.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),p,1.0,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/32.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),p,1.0,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/33.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),p,1.0,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/34.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),p,1.0,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/35.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),p,1.0,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/36.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),p,1.0,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/37.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),p,1.0,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/38.png
(C (T (repeat (T l (M 1.1755705045849463 0 -0.5877852522924731 0.8090169943749475)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 6 (M 1 1.0471975511965976 0 0))),p,1.0,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/39.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),p,2.2,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/40.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),p,2.2,c,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/41.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),p,2.2,s,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/42.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),p,2.2,s,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/43.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),p,2.2,p,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/44.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.4702282018339785 0 -0.23511410091698925 0.323606797749979)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),p,2.2,p,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/45.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 4 (M 1 1.5707963267948966 0 0))),p,2.2,h,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/46.png
(C (T (repeat (T l (M 2.586255110086882 0 -1.293127555043441 1.7798373876248845)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.5699 0)) 6 (M 1 1.0471975511965976 0 0))),p,2.2,h,6,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/47.png
(C (T (repeat (T l (M 0.9999999999999999 0 -0.49999999999999994 0.8660254037844387)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.0029000000000003 0)) 4 (M 1 1.5707963267948966 0 0))),h,1.0,c,4,balanced_data/var_balanced/nuts_and_bolts/dim2/var3/images/48.png
